,RN,Mono,Std
0,RN001,0.5072666666666666,0.009922869208718479
1,RN002,0.4973,0.0037469987990390386
2,RN003,0.4869,0.007450503338701352
3,RN004,0.4757333333333333,0.00543721742560782
4,RN005,0.6981666666666667,0.0034588051886935366
5,RN006,0.5049,0.001705872210923198
6,RN007,0.38293333333333335,0.008523692470598252
7,RN008,0.4634666666666667,0.0012583057392117917
8,RN009,0.4330666666666667,0.0028148416178061125
9,RN010,0.36346666666666666,0.0004932882862316248
10,RN011,0.402,0.005092150822589606
11,RN012,0.6877333333333333,0.005877357682950166
12,RN013,0.6137,0.0005567764362830022
13,RN014,0.5359333333333333,0.002236813209307682
14,RN015,0.5905333333333334,0.005858611894752317
15,RN016,0.6011,0.0086
16,RN017,0.6837666666666667,0.0034486712417006837
17,RN018,0.5554666666666667,0.0008082903768654761
18,RN019,0.6314,0.007175653280364095
19,RN020,0.6419333333333334,0.0041198705481281005
20,RN021,0.6121,0.006413267497929586
21,RN022,0.5071,0.006681317235396027
22,RN023,0.4556333333333333,0.0032145502536643188
23,RN024,0.6740666666666667,0.004001666319589045
24,RN025,0.4217666666666667,0.0011846237095944573
25,RN026,0.6355333333333333,0.0016502525059315417
26,RN027,0.5048,0.000854400374531753
27,RN028,0.5008666666666667,0.008603100216394863
28,RN029,0.4912,0.0009539392014169456
29,RN030,0.5101,0.0007810249675906654
30,RN031,0.5506,0.0005291502622129182
31,RN032,0.6226666666666667,0.00408207463593371
32,RN033,0.5018,0.006150609725872712
33,RN034,0.6316333333333333,0.001985782801147531
34,RN035,0.5551,0.004257933771208753
35,RN036,0.6269666666666667,0.0022368132093076826
36,RN037,0.6521666666666667,0.005002332789142814
37,RN038,0.5758666666666667,0.005532027958473577
38,RN039,0.571,0.006121274377121157
39,RN040,0.5364666666666666,0.002138535324312725
40,RN041,0.5338,0.0016522711641858304
41,RN042,0.5779666666666667,0.005096403960964372
42,RN043,0.45056666666666667,0.0016041612554021285
43,RN044,0.6650333333333333,0.004015387071420803
44,RN045,0.4708666666666667,0.005000333322222963
45,RN046,0.5372,0.0059506302187247355
46,RN047,0.5412,0.007044856279584417
47,RN048,0.5592333333333332,0.00195021366350801
48,RN049,0.6507666666666667,0.007335075550622048
49,RN050,0.6045333333333333,0.007295432360959379
50,RN051,0.6404,0.0016
51,RN052,0.6499333333333333,0.0037421027956662726
52,RN053,0.5562666666666667,0.005575242894559244
53,RN054,0.5331666666666667,0.005807179464536406
54,RN055,0.4177,0.0021071307505705476
55,RN056,0.6893333333333334,0.0014502873278538061
56,RN057,0.6563,0.0068549252366455465
57,RN058,0.5455666666666666,0.0025579940057266224
58,RN059,0.5207333333333333,0.0019857828011475304
59,RN060,0.4625,0.004417012565071555
60,RN061,0.6661,0.0051419840528729764
61,RN062,0.5163,0.006766830868286867
62,RN063,0.5898,0.0023811761799581318
63,RN064,0.5131,0.004968903299521938
64,RN065,0.5373666666666667,0.0060335174925853444
65,RN066,0.6299666666666667,0.00845596436447868
66,RN067,0.7265666666666667,0.0011930353445448855
67,RN068,0.40103333333333335,0.002193931022920578
68,RN069,0.4598333333333333,0.009242474416157902
69,RN070,0.6183666666666667,0.0008326663997864532
70,RN071,0.5564333333333333,0.005680082159030214
71,RN072,0.542,0.0037
72,RN073,0.4256333333333333,0.008851176946222087
73,RN074,0.5330333333333332,0.008243987708223087
74,RN075,0.5472666666666667,0.005269092268439919
75,RN076,0.5731,0.0019157244060668017
76,RN077,0.5298666666666667,0.003982880029995045
77,RN078,0.7197666666666667,0.006245264872952415
78,RN079,0.6254666666666667,0.005142308171758411
79,RN080,0.4905666666666667,0.003043572462310259
80,RN081,0.25693333333333335,0.0032347076117221684
81,RN082,0.40046666666666664,0.00300055550412475
82,RN083,0.6591333333333333,0.003150132272355136
83,RN084,0.4964,0.0030199337741083
84,RN085,0.5147,0.007422263805605402
85,RN086,0.5276333333333333,0.00319739477283199
86,RN087,0.5174666666666667,0.006443860126766668
87,RN088,0.6984666666666667,0.00567655999116836
88,RN089,0.5362666666666667,0.006351640208114227
89,RN090,0.7309333333333333,0.00567655999116836
90,RN091,0.4863,0.005610704055642215
91,RN092,0.5719333333333333,0.0006429100507328636
92,RN093,0.531,0.004419275958796871
93,RN094,0.6504,0.0073082145562373855
94,RN095,0.6207666666666667,0.001171893055416463
95,RN096,0.6168666666666667,0.00567655999116836
96,RN097,0.5564666666666667,0.003764748774265467
97,RN098,0.5205,0.0035679125549822545
98,RN099,0.5555666666666667,0.0005033222956847167
99,RN100,0.6911,0.0046776062254106
