Type,slope,intercept,r_value,p_value,std_err,rho,pval
TT,-0.08666765121522692,2.2793662843493268,-0.5726409253571769,4.814438949643995e-10,0.012533514216708036,-0.5726409253571769,4.814438949644011e-10
C2,-0.1295184456292835,3.340682759733207,-0.32748632516426157,0.0008813246520805501,0.037747744241060956,-0.3274863251642615,0.0008813246520805541
C3,0.005649611637948502,0.7497020375040058,0.08929334299021369,0.3769804491487303,0.006365729129222074,0.0892933429902137,0.37698044914872797
C4,0.01287201664113278,0.6122394596180174,0.31887056711462275,0.0012230021347948703,0.00386487126328471,0.31887056711462286,0.0012230021347948684
C5,0.00475766954949806,0.758948662673114,0.06699304538888645,0.5078095166645085,0.007157720746862409,0.06699304538888645,0.507809516664508
C6,-0.026345996888233615,1.1690880214993105,-0.4252095915309166,1.0346118170977644e-05,0.005664905511282385,-0.42520959153091653,1.0346118170977666e-05
C7,-0.016916206502115203,1.1494321307635593,-0.32422953129644577,0.0009986439005167601,0.0049856135349740345,-0.32422953129644577,0.0009986439005167584
C8,-0.0024302601413292583,0.9739179342769971,-0.062439593388811186,0.537136875223376,0.003924021812509329,-0.06243959338881123,0.5371368752233797
C9,-0.022305992297239268,1.11603747489136,-0.35057553148482845,0.0003490678106242535,0.006019364898523414,-0.3505755314848285,0.00034906781062425327
C12,-0.016463402633958686,1.1657360411703008,-0.2390122416095499,0.016625209114280753,0.006756364177868869,-0.2390122416095499,0.016625209114280767
C13,-0.027725539693407412,1.3170936545330278,-0.4112646125007325,2.131915985040427e-05,0.006207402763328174,-0.4112646125007325,2.1319159850404408e-05
